employee_id,date,clockin,clockout
thisisemail1@gsu.edu,2023-04-17,2023-04-17 08:56:09,2023-04-17 13:56:09
thisisemail2@gsu.edu,2023-04-17,2023-04-17 08:56:09,2023-04-17 14:56:09
thisisemail3@gsu.edu,2023-04-17,2023-04-17 08:56:09,2023-04-17 15:56:09
thisisemail4@gsu.edu,2023-04-17,2023-04-17 08:56:09,2023-04-17 16:56:09
thisisemail5@gsu.edu,2023-04-17,2023-04-17 08:56:09,2023-04-17 17:56:09
thisisemail1@gsu.edu,2023-04-18,2023-04-18 08:56:09,2023-04-18 13:56:09
thisisemail2@gsu.edu,2023-04-18,2023-04-18 08:56:09,2023-04-18 14:56:09
thisisemail3@gsu.edu,2023-04-18,2023-04-18 08:56:09,2023-04-18 15:56:09
thisisemail4@gsu.edu,2023-04-18,2023-04-18 08:56:09,2023-04-18 16:56:09
thisisemail5@gsu.edu,2023-04-18,2023-04-18 08:56:09,2023-04-18 17:56:09
thisisemail1@gsu.edu,2023-04-19,2023-04-19 08:56:09,2023-04-19 19:56:09
thisisemail2@gsu.edu,2023-04-19,2023-04-19 08:56:09,2023-04-19 20:56:09
thisisemail3@gsu.edu,2023-04-19,2023-04-19 08:56:09,2023-04-19 21:56:09
thisisemail4@gsu.edu,2023-04-19,2023-04-19 08:56:09,2023-04-19 22:56:09
thisisemail5@gsu.edu,2023-04-19,2023-04-19 08:56:09,2023-04-19 23:56:09
thisisemail1@gsu.edu,2023-04-20,2023-04-20 08:56:09,2023-04-20 17:56:09
thisisemail2@gsu.edu,2023-04-20,2023-04-20 08:56:09,2023-04-20 18:56:09
thisisemail3@gsu.edu,2023-04-20,2023-04-20 08:56:09,2023-04-20 19:56:09
thisisemail4@gsu.edu,2023-04-20,2023-04-20 08:56:09,2023-04-20 20:56:09
thisisemail5@gsu.edu,2023-04-20,2023-04-20 08:56:09,2023-04-20 21:56:09
thisisemail1@gsu.edu,2023-04-21,2023-04-21 08:56:09,2023-04-21 17:56:09
thisisemail2@gsu.edu,2023-04-21,2023-04-21 08:56:09,2023-04-21 18:56:09
thisisemail3@gsu.edu,2023-04-21,2023-04-21 08:56:09,2023-04-21 19:56:09
thisisemail4@gsu.edu,2023-04-21,2023-04-21 08:56:09,2023-04-21 20:56:09
thisisemail5@gsu.edu,2023-04-21,2023-04-21 08:56:09,2023-04-21 21:56:09
thisisemail1@gsu.edu,2023-04-22,2023-04-22 08:56:09,2023-04-22 16:56:09
thisisemail2@gsu.edu,2023-04-22,2023-04-22 08:56:09,2023-04-22 17:56:09
thisisemail3@gsu.edu,2023-04-22,2023-04-22 08:56:09,2023-04-22 18:56:09
thisisemail4@gsu.edu,2023-04-22,2023-04-22 08:56:09,2023-04-22 19:56:09
thisisemail5@gsu.edu,2023-04-22,2023-04-22 08:56:09,2023-04-22 20:56:09
thisisemail1@gsu.edu,2023-04-23,2023-04-23 08:56:09,2023-04-23 08:56:09
thisisemail2@gsu.edu,2023-04-23,2023-04-23 08:56:09,2023-04-23 09:56:09
thisisemail3@gsu.edu,2023-04-23,2023-04-23 08:56:09,2023-04-23 10:56:09
thisisemail4@gsu.edu,2023-04-23,2023-04-23 08:56:09,2023-04-23 11:56:09
thisisemail5@gsu.edu,2023-04-23,2023-04-23 08:56:09,2023-04-23 12:56:09
